ID,Ism,Yosh,Jins,Bo'lim,Lavozim,Ish_Tajribasi,Maosh,Shahar,Email
40,Kamol,28.0,Ayol,Marketing,Junior,11.0,28884040.0,Toshkent,user40@company.uz
41,Anvar,47.0,Ayol,IT,Lead,,9646705.0,Namangan,user41@company.uz
42,Anvar,,Ayol,IT,Senior,0.0,,Farg'ona,user42@company.uz
43,Bobur,49.0,Erkak,Marketing,Lead,0.0,16388409.0,Namangan,user43@company.uz
44,Bobur,28.0,Erkak,Marketing,Middle,,28683137.0,Farg'ona,user44@company.uz
45,Bobur,30.0,Ayol,Marketing,Middle,9.0,16846020.0,Namangan,user45@company.uz
46,Sardor,29.0,Ayol,Finance,,10.0,26681052.0,Namangan,user46@company.uz
47,Anvar,33.0,Ayol,IT,Junior,11.0,12726290.0,Buxoro,user47@company.uz
48,Dildora,23.0,Ayol,Finance,Middle,12.0,16659783.0,Namangan,user48@company.uz
49,Malika,22.0,Erkak,Marketing,Manager,,19164204.0,,user49@company.uz
50,Zarina,37.0,Ayol,IT,Middle,,17837568.0,Buxoro,user50@company.uz
51,Sardor,44.0,Erkak,Finance,Middle,1.0,26020885.0,Namangan,user51@company.uz
52,Nigora,44.0,Ayol,Finance,,18.0,4286643.0,Toshkent,user52@company.uz
53,Sardor,45.0,Erkak,Marketing,Lead,17.0,,Samarqand,user53@company.uz
54,Dildora,26.0,Ayol,IT,Middle,2.0,11315390.0,,user54@company.uz
55,Nigora,,Ayol,Marketing,Senior,16.0,9200646.0,Samarqand,user55@company.uz
56,Zarina,33.0,Ayol,IT,Lead,7.0,9983896.0,Buxoro,user56@company.uz
57,Dildora,29.0,Ayol,Sales,Manager,9.0,28560364.0,,user57@company.uz
58,Vali,43.0,Erkak,HR,Junior,1.0,,Namangan,user58@company.uz
59,Malika,,Ayol,HR,,18.0,8409861.0,Toshkent,user59@company.uz
60,Zarina,24.0,Erkak,HR,Lead,8.0,24716219.0,Toshkent,user60@company.uz
61,Anvar,22.0,Erkak,,Lead,6.0,26088542.0,Samarqand,user61@company.uz
62,Bobur,24.0,Erkak,Sales,Lead,3.0,24923602.0,Toshkent,user62@company.uz
63,Vali,26.0,Erkak,IT,Manager,17.0,18931836.0,Buxoro,user63@company.uz
64,Kamol,36.0,Ayol,Finance,Lead,12.0,15831595.0,Namangan,user64@company.uz
65,Zarina,35.0,Erkak,IT,Manager,10.0,18963317.0,Samarqand,user65@company.uz
66,Kamol,24.0,Erkak,Finance,,3.0,11415398.0,Toshkent,user66@company.uz
67,Nigora,22.0,Erkak,IT,Senior,3.0,13080346.0,Buxoro,user67@company.uz
68,Vali,26.0,Ayol,Sales,Lead,9.0,3448345.0,Buxoro,user68@company.uz
69,Malika,47.0,Ayol,Finance,Manager,4.0,,Toshkent,user69@company.uz
70,Anvar,44.0,Ayol,Marketing,,,10827494.0,Namangan,user70@company.uz
71,Anvar,35.0,Ayol,IT,,2.0,23462717.0,Toshkent,user71@company.uz
72,Dildora,28.0,Erkak,IT,Middle,16.0,,,user72@company.uz
73,Anvar,48.0,Erkak,Finance,,2.0,18814828.0,Toshkent,user73@company.uz
74,Gulnora,30.0,Ayol,Marketing,Junior,15.0,,Buxoro,user74@company.uz
75,Jasur,36.0,Erkak,Marketing,Senior,3.0,7984445.0,,user75@company.uz
76,Sardor,36.0,Erkak,Sales,Lead,17.0,9939705.0,Namangan,user76@company.uz
77,Bobur,47.0,Erkak,Marketing,Middle,16.0,10002587.0,Farg'ona,user77@company.uz
78,Ali,31.0,Ayol,Marketing,Middle,6.0,9742471.0,Toshkent,user78@company.uz
79,Malika,49.0,Ayol,Marketing,,4.0,4454908.0,Namangan,user79@company.uz
80,Vali,34.0,Erkak,HR,Middle,11.0,13642302.0,Namangan,user80@company.uz
81,Jasur,40.0,Ayol,Sales,Manager,16.0,6319144.0,Buxoro,user81@company.uz
82,Malika,28.0,Ayol,IT,Junior,12.0,11693670.0,Namangan,user82@company.uz
83,Vali,38.0,Ayol,Finance,Lead,2.0,19567296.0,,user83@company.uz
84,Bobur,41.0,Ayol,IT,Manager,8.0,8806466.0,Namangan,user84@company.uz
85,Aziz,25.0,Ayol,,,16.0,25521804.0,Namangan,user85@company.uz
86,Aziz,26.0,Erkak,Finance,Middle,16.0,,Samarqand,user86@company.uz
87,Kamol,44.0,Ayol,Sales,Middle,19.0,8304509.0,Samarqand,user87@company.uz
88,Malika,28.0,Erkak,Marketing,Junior,15.0,10668216.0,Buxoro,user88@company.uz
89,Aziz,34.0,Erkak,Finance,Middle,12.0,7949499.0,Toshkent,user89@company.uz
90,Gulnora,36.0,Ayol,Marketing,Junior,,22164528.0,Namangan,user90@company.uz
91,Vali,32.0,Erkak,IT,Manager,16.0,23471192.0,,user91@company.uz
92,Kamol,25.0,Erkak,IT,Manager,3.0,9062903.0,Toshkent,user92@company.uz
93,Anvar,34.0,Erkak,Finance,Junior,11.0,24185440.0,Buxoro,user93@company.uz
94,Vali,28.0,Ayol,Finance,,8.0,,Namangan,user94@company.uz
95,Kamol,48.0,Ayol,Sales,Manager,18.0,12814149.0,Namangan,user95@company.uz
96,Bobur,40.0,Erkak,Sales,,11.0,25480953.0,Farg'ona,user96@company.uz
97,Malika,43.0,Ayol,Marketing,Senior,8.0,21648619.0,Toshkent,user97@company.uz
98,Bobur,49.0,Ayol,Finance,Lead,6.0,8747372.0,Toshkent,user98@company.uz
99,Jasur,23.0,Ayol,IT,Middle,13.0,7848287.0,Samarqand,user99@company.uz
100,Bobur,,Ayol,Sales,Senior,19.0,8658796.0,Farg'ona,user100@company.uz
50,Zarina,37.0,Ayol,IT,Middle,,17837568.0,Buxoro,user50@company.uz
89,Aziz,34.0,Erkak,Finance,Middle,12.0,7949499.0,Toshkent,user89@company.uz
21,Nigora,22.0,Erkak,IT,Middle,9.0,15331942.0,Samarqand,user21@company.uz
42,Anvar,,Ayol,IT,Senior,0.0,,Farg'ona,user42@company.uz
27,Vali,33.0,Ayol,HR,Manager,15.0,24009622.0,Farg'ona,user27@company.uz
